"domain","min_val","max_val","mean_val","median_val","sd_val","count"
"bear",0.6,6.8,1.85224242127143,1.7,0.583266121859859,3957
"boulder",0.342,11.89,2.82644048884166,2.235,1.83379334806192,941
"east_river",0,6.301,0.91432798791988,0.7089,0.703724161510203,1948
"hbef",0.18,25.3491,3.13702634392686,2.13,2.73510100156137,10523
"hjandrews",0.19,4.27,1.14147969441094,0.98,0.609697165351025,2487
"konza",0.03,27,1.61960572687225,1.28,1.49294876371259,4540
"loch_vale",0.165,8.6,1.22671762929407,0.92,0.905553585841925,2649
"neon",0.2178,29.43,2.71555774070822,2.152,2.31654490918671,1139
"niwot",0.01,12.9830492057342,1.57508539255395,1.04,1.69767967605572,2113
"panola",0.008767811,0.14773161,0.0277360996508457,0.01801605,0.0212332129132276,657
"plum",0,41.477871487,9.08673871361111,6.267543581,8.05321256004407,312
"santee",0.97,70.67,20.8904561038688,19.825,7.66194462073683,2113
"shale_hills",0.603,28.59,6.06434946236559,4.297,5.00875856945741,279
"sleepers",0.17,13.0688888888889,2.06419172512557,1.6,1.51813427223898,2578
"trout_lake",1.8,14.7,5.32666666666667,5.1,2.33314796323433,150
"walker_branch",0.12,6.47,0.770265291083272,0.68,0.430580578502431,1357
